Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V500,2581026.15726,1123815.60978,2.716922,0.796797,157.943421
V501,2740368.85477,1164023.03043,3.784324,0.491456,220.049911
V502,2548444.26925,1206537.00285,0.666892,0.571868,38.859162
V503,2636431.38756,1128307.03059,1.532579,0.352414,89.046172
V504,2691512.17793,1214396.67405,3.151661,0.460995,183.251508
V505,2581492.02116,1157546.63703,2.608712,0.493245,151.606769
V506,2655178.47087,1205221.20456,2.969783,0.366202,172.597082
V507,2687941.62789,1269311.89886,0.734411,0.459663,42.767467
V508,2808501.54302,1183084.69384,2.915494,0.679707,169.493685
V509,2783025.99432,1168346.58130,2.982612,0.79873,173.375957
V510,2714424.65893,1108836.87301,4.305071,0.248499,250.400243
V511,2548531.92549,1218166.31332,0.408965,0.639804,23.905195
V512,2698415.81484,1227397.78509,3.50872,0.329722,203.86638
V513,2511136.57124,1125599.10614,0.438768,0.673794,25.590547
V514,2637873.16760,1134900.77346,2.921184,0.68631,169.811599
V515,2739913.00454,1238995.07179,3.381221,0.227421,196.563218
V516,2611011.14466,1225431.65923,0.110353,0.60375,6.621963
V517,2599564.91029,1145239.23176,1.433524,0.363655,83.349694
V518,2569340.84738,1133762.16385,1.298636,0.344721,75.488083
V519,2720568.91878,1087199.30206,4.582112,0.174756,266.388375
V520,2792114.15038,1169621.07871,3.048215,0.817017,177.198088
V521,2663663.04655,1201098.92267,2.868709,0.152107,166.652313
V522,2620826.89663,1098711.66286,3.766791,0.797754,218.969211
V523,2573318.74654,1194994.64997,0.093477,0.388021,5.658993
V524,2622896.51067,1223550.77120,0.16615,0.502572,9.862758
V525,2627659.27658,1180584.47778,2.175184,0.333152,126.405863
V526,2736863.83088,1184927.11351,3.179451,0.01975,185.930348
V527,2585669.12248,1085893.83839,3.607368,0.785366,209.681396
V528,2663072.05317,1147119.10519,2.228637,0.28509,129.573899
V529,2685616.36603,1266350.45628,0.590303,0.482991,34.393364
V530,2584987.94201,1152446.87126,1.992227,0.297568,115.79539
V531,2634272.28294,1135146.17067,3.307664,0.776423,192.267062
V532,2682566.55250,1228378.80769,3.299034,0.240781,191.624068
V533,2617754.71883,1193704.93305,1.103756,0.020801,64.884817
V534,2647539.17742,1209537.10756,1.146781,0.134971,66.657904
V535,2526244.96331,1150943.80720,0.243396,0.5389,14.344778
V536,2623702.41081,1187919.63988,1.880929,0.237765,109.254223
V537,2727537.58267,1121699.08700,4.500749,0.299834,261.667588
V538,2691367.06798,1197350.66814,3.410646,0.363634,198.328282
V539,2671583.51253,1183711.29375,3.101724,0.671097,180.327656
V540,2723460.54967,1129902.34241,3.92516,0.532574,228.199979
V541,2765700.36160,1184514.79481,3.010053,0.700983,174.984718
V542,2689404.55973,1153796.98135,4.64196,0.280771,269.950724
V543,2704978.75504,1170224.50615,3.517077,0.375586,204.534627
V544,2712542.35622,1115522.19490,4.789044,0.350564,278.350658
V545,2584505.60450,1146334.07112,1.185971,0.395349,68.978034
V546,2678427.50745,1236502.83586,2.482195,0.161413,143.895764
V547,2642896.39725,1163140.16125,2.583932,0.555442,150.244671
