Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V109,2559495.90562,1210484.12541,0.571822,0.515871,33.290081
V110,2596605.50913,1195707.10380,0.687167,0.287392,39.954913
V111,2582268.68915,1235524.42274,0.815738,0.461189,47.429869
V112,2743341.92086,1227352.34528,2.81948,0.485518,163.887115
V113,2672411.83561,1246534.32139,0.619023,0.330803,36.014537
V114,2699615.15961,1287245.47015,1.044271,0.504753,60.70405
V115,2723995.66120,1173836.66481,2.789964,0.721426,162.164558
V116,2734912.96672,1197634.17491,2.90318,0.756421,168.763865
V117,2598297.53667,1122594.62323,0.674877,0.709796,39.271282
V118,2761530.71792,1207952.25582,0.946758,0.231258,55.008746
V119,2586563.00882,1134420.80545,2.660051,0.818672,154.610436
V120,2641384.83822,1257395.36363,0.574415,0.46348,33.441306
V121,2769593.22063,1205059.28296,1.63347,0.354484,94.88823
V122,2761846.66356,1176877.96422,2.774832,0.632791,161.288003
V123,2511438.10589,1155301.99530,1.246776,0.409081,72.430761
V124,2700946.64468,1233775.58894,4.611119,0.061782,268.622121
V125,2586708.76724,1205794.09755,0.626026,0.399768,36.425225
V126,2710984.15602,1231026.62157,4.07717,0.104241,237.261118
V127,2516933.73161,1150087.58567,0.328221,0.632185,19.16718
V128,2640369.28488,1121407.35516,2.895935,0.751586,168.324933
V129,2758395.52467,1211432.89220,1.291098,0.073,74.655217
V130,2554634.24762,1200329.56733,0.417029,0.560929,24.317194
